Title,Movie_Cast,Director,Genre,Year
Stree 2,NA,NA,NA,2024
Bhool Bhulaiyaa 3,NA,NA,NA,2024
Singham Again,NA,NA,NA,2024
Fighter,NA,NA,NA,2024
Shaitaan,NA,NA,NA,2024
Crew,NA,NA,NA,2024
Teri Baaton Mein Aisa Uljha Jiya,NA,NA,NA,2024
Munjya,NA,NA,NA,2024
Bad Newz,NA,NA,NA,2024
Article 370,NA,NA,NA,2024
Tauba Tera Jalwa,Jatin KhuranaAmeesha PatelAngela Krislinzki,Akashaditya Lama,NA,2024
Merry Christmas[e],Katrina KaifVijay Sethupathi,Sriram Raghavan,NA,2024
Main Atal Hoon,Pankaj Tripathi,Ravi Jadhav,NA,2024
Fighter,Hrithik RoshanDeepika PadukoneAnil KapoorKaran Singh GroverAkshay OberoiSanjeeda Sheikh,Siddharth Anand,NA,2024
NA,NA,NA,NA,2024
Teri Baaton Mein Aisa Uljha Jiya,Shahid KapoorKriti SanonDharmendraDimple Kapadia,Amit JoshiAradhana Sah,NA,2024
Bhakshak,Bhumi PednekarSanjay MishraSai TamhankarAditya Srivastava,Pulkit,NA,2024
Lantrani,Jitendra KumarJisshu SenguptaJohnny LeverNimisha SajayanSanjay MahanandBoloram Das,Gurvinder SinghKaushik GangulyBhaskar Hazarika,NA,2024
Mirg,Satish KaushikAnup SoniShwetaabh SinghRaj Babbar,Tarun Sharma,NA,2024
Dashmi,Vardhan PuriGaurav SareenSanjay PandeyRajesh Jais,Shantanu Anant Tambe,NA,2024
Kuch Khattaa Ho Jaay,Guru RandhawaSaiee ManjrekarAnupam KherIla Arun,G. Ashok,NA,2024
Crakk,Vidyut JammwalNora FatehiArjun RampalAmy Jackson,Aditya Datt,NA,2024
Article 370,Yami GautamPriyamaniSkand ThakurAshwini KaulVaibhav TatwawadiArun GovilKiran Karmarkar,Aditya Suhas Jambhale,NA,2024
All India Rank,Bodhisattva SharmaSamta SudikshaSheeba ChaddhaGeeta AgrawalNeeraj Ayush PandeySaadat Khan,Varun Grover,NA,2024
Chote Nawab,Akshay OberoiPlabita BorthakurSvar KambleShataf FigarEkavali KhannaRajshri DeshpandeFalaq NaazSadiya SiddiquiLalit TiwariSohaila KapurAyush TandonNeeraj Sood,Kumud Chaudhary,NA,2024
Laapataa Ladies,Ravi KishanNitanshi GoelPratibha RantaSparsh SrivastavChhaya Kadam,Kiran Rao,NA,2024
Dange[e],Harshvardhan RaneEhan BhatNikita DuttaTJ Bhanu,Bejoy Nambiar,NA,2024
Operation Valentine[f],Varun TejManushi Chhillar,Shakti Pratap Singh Hada,NA,2024
Kaagaz 2,Anupam KherDarshan KumarSmiriti KalraSatish KaushikNeena Gupta,V. K. Prakash,NA,2024
Fairy Folk,Rasika DuggalMukul ChaddaChandrachoor Rai,Karan Gour,NA,2024
Shaitaan,Ajay DevgnR. MadhavanJyothika,Vikas Bahl,NA,2024
