Title,Movie_Cast,Director,Genre,Year
stree 2,,,"comedy, horror",2024
stree 2,,,"comedy, horror",2024
bhool bhulaiyaa 3,,,"comedy, horror",2024
bhool bhulaiyaa 3,,,"comedy, horror",2024
singham again,,,action,2024
singham again,,,action,2024
fighter,,,action,2024
fighter,,,action,2024
shaitaan,,,horror,2024
shaitaan,,,horror,2024
crew,,,comedy,2024
crew,,,comedy,2024
teri baaton mein aisa uljha jiya,,,"comedy, romantic, science fiction",2024
teri baaton mein aisa uljha jiya,,,"comedy, romantic, science fiction",2024
munjya,,,"comedy, horror",2024
munjya,,,"comedy, horror",2024
bad newz,,,"comedy, war",2024
bad newz,,,"comedy, war",2024
article 370,,,"action, thriller, political",2024
article 370,,,"action, thriller, political",2024
tauba tera jalwa,Jatin KhuranaAmeesha PatelAngela Krislinzki,Akashaditya Lama,"comedy, romantic",2024
merry christmas[e],Katrina KaifVijay Sethupathi,Sriram Raghavan,,2024
main atal hoon,Pankaj Tripathi,Ravi Jadhav,biographical,2024
fighter,Hrithik RoshanDeepika PadukoneAnil KapoorKaran Singh GroverAkshay OberoiSanjeeda Sheikh,Siddharth Anand,action,2024
fighter,Hrithik RoshanDeepika PadukoneAnil KapoorKaran Singh GroverAkshay OberoiSanjeeda Sheikh,Siddharth Anand,action,2024
,,,,2024
teri baaton mein aisa uljha jiya,Shahid KapoorKriti SanonDharmendraDimple Kapadia,Amit JoshiAradhana Sah,"comedy, romantic, science fiction",2024
teri baaton mein aisa uljha jiya,Shahid KapoorKriti SanonDharmendraDimple Kapadia,Amit JoshiAradhana Sah,"comedy, romantic, science fiction",2024
bhakshak,Bhumi PednekarSanjay MishraSai TamhankarAditya Srivastava,Pulkit,"thriller, crime",2024
lantrani,Jitendra KumarJisshu SenguptaJohnny LeverNimisha SajayanSanjay MahanandBoloram Das,Gurvinder SinghKaushik GangulyBhaskar Hazarika,"drama, comedy, anthology",2024
mirg,Satish KaushikAnup SoniShwetaabh SinghRaj Babbar,Tarun Sharma,action,2024
dashmi,Vardhan PuriGaurav SareenSanjay PandeyRajesh Jais,Shantanu Anant Tambe,"drama, thriller",2024
kuch khattaa ho jaay,Guru RandhawaSaiee ManjrekarAnupam KherIla Arun,G. Ashok,"comedy, romantic",2024
crakk,Vidyut JammwalNora FatehiArjun RampalAmy Jackson,Aditya Datt,"action, sports",2024
article 370,Yami GautamPriyamaniSkand ThakurAshwini KaulVaibhav TatwawadiArun GovilKiran Karmarkar,Aditya Suhas Jambhale,"action, thriller, political",2024
article 370,Yami GautamPriyamaniSkand ThakurAshwini KaulVaibhav TatwawadiArun GovilKiran Karmarkar,Aditya Suhas Jambhale,"action, thriller, political",2024
all india rank,Bodhisattva SharmaSamta SudikshaSheeba ChaddhaGeeta AgrawalNeeraj Ayush PandeySaadat Khan,Varun Grover,"drama, comedy",2024
chote nawab,Akshay OberoiPlabita BorthakurSvar KambleShataf FigarEkavali KhannaRajshri DeshpandeFalaq NaazSadiya SiddiquiLalit TiwariSohaila KapurAyush TandonNeeraj Sood,Kumud Chaudhary,drama,2024
laapataa ladies,Ravi KishanNitanshi GoelPratibha RantaSparsh SrivastavChhaya Kadam,Kiran Rao,"drama, comedy",2024
dange[e],Harshvardhan RaneEhan BhatNikita DuttaTJ Bhanu,Bejoy Nambiar,,2024
operation valentine[f],Varun TejManushi Chhillar,Shakti Pratap Singh Hada,,2024
kaagaz 2,Anupam KherDarshan KumarSmiriti KalraSatish KaushikNeena Gupta,V. K. Prakash,drama,2024
fairy folk,Rasika DuggalMukul ChaddaChandrachoor Rai,Karan Gour,"drama, fantasy",2024
shaitaan,Ajay DevgnR. MadhavanJyothika,Vikas Bahl,horror,2024
shaitaan,Ajay DevgnR. MadhavanJyothika,Vikas Bahl,horror,2024
tera kya hoga lovely,Randeep HoodaIleana D'CruzKaran Kundrra,Balwinder Singh Janjua,comedy,2024
alpha beta gamma,NishanAmit Kumar VashisthReena Aggarwal,Shankar Srikumar,"comedy, romantic",2024
yodha,Sidharth MalhotraRaashii KhannaDisha Patani,Sagar AmbrePushkar Ojha,"action, thriller, war",2024
bastar: the naxal story,Adah SharmaShilpa ShuklaYashpal SharmaSubrat DuttaRaima Sen,Sudipto Sen,"thriller, political",2024
murder mubarak,Sara Ali KhanPankaj TripathiVijay VarmaDimple KapadiaKarisma KapoorSanjay KapoorTisca ChopraSuhail Nayyar,Homi Adajania,"thriller, mystery",2024
ae watan mere watan,Sara Ali KhanSparsh SrivastavAnand TiwariBenedict GarrettAlexx O'NellAbhay Verma,Kannan Iyer,"biographical, historical",2024
madgaon express,DivyennduPratik GandhiAvinash TiwaryNora FatehiUpendra LimayeChhaya Kadam,Kunal Khemu,comedy,2024
swatantrya veer savarkar,Randeep HoodaAnkita LokhandeAmit Sial,Randeep Hooda,Unknown,2024
crew,TabuKareena Kapoor KhanKriti SanonDiljit Dosanjh,Rajesh A Krishnan,comedy,2024
crew,TabuKareena Kapoor KhanKriti SanonDiljit Dosanjh,Rajesh A Krishnan,comedy,2024
woh bhi din the,Rohit SarafAdarsh GouravSanjana Sanghi,Sajid Ali,"comedy, romantic",2024
patna shuklla,Raveena TandonManav Vij,Vivek Budakoti,drama,2024
bengal 1947,Devoleena BhattacharjeeOmkar Das ManikpuriAditya LakhiaSohaila Kapur,Akashaditya Lama,"drama, romantic",2024
,,,,2024
dukaan,Monika PanwarSikandar KherMonali Thakur,Siddharth–Garima,"drama, comedy",2024
bade miyan chote miyan,Akshay KumarTiger ShroffPrithviraj SukumaranManushi ChhillarAlaya FSonakshi SinhaRonit Bose Roy,Ali Abbas Zafar,"action, science fiction",2024
maidaan,Ajay DevgnPriyamaniGajraj Rao,Amit Sharma,"drama, biographical, sports",2024
amar singh chamkila,Diljit DosanjhParineeti Chopra,Imtiaz Ali,"drama, biographical",2024
ameena,Rekha RanaAnant Mahadevan,Kumar Raj,"action, drama, thriller",2024
gauraiya live,Ada SinghRandhir Singh ThakurOmkar Das ManikpuriShagufta AliPankaj JhaSeema Saini,Gabriel Vats,drama,2024
silence 2: the night owl bar shootout,Manoj BajpayeePrachi DesaiSahil VaidParul GulatiShruti Bapna,Aban Bharucha Deohans,"thriller, mystery",2024
love sex aur dhokha 2,Mouni RoyNimrit Kaur AhluwaliaTusshar KapoorUrfi JavedSophie Choudry,Dibakar Banerjee,"drama, anthology",2024
do aur do pyaar,Vidya BalanPratik GandhiIleana D'CruzSendhil Ramamurthy,Shirsha Guha Thakurta,"comedy, romantic",2024
kaam chalu hai,Rajpal YadavGiaa ManekKurangi Nagraj,Palash Muchhal,drama,2024
appu,Arjun BajwaRupa BhimaniAbhijit Bhunia,Prosenjit Ganguly,,2024
luv you shankar,Shreyas TalpadeTanishaa MukerjiAbhimanyu SinghHemant Pandey,Rajiv S. Ruia,drama,2024
